"","County","PassRate","AdvPassRate"
"118","Suffolk City",76.9333333333333,13.2333333333333
"119","Surry County",78.2142857142857,10.2142857142857
"120","Sussex County",77.1071428571429,12.1428571428571
"121","Tazewell County",86.5714285714286,18.3571428571429
"122","Virginia Beach City",84.3870967741936,20.6129032258065
"123","Warren County",74.7857142857143,13.9285714285714
"124","Washington County",86.1935483870968,22
"125","Waynesboro City",68.5357142857143,11.0357142857143
"126","West Point",92.4285714285714,21.9285714285714
"127","Westmoreland County",74.4285714285714,11.2142857142857
"128","Williamsburg-James City County",82.9032258064516,23.3225806451613
"129","Winchester City",73.0714285714286,14.5
"130","Wise County",88.5,20.1071428571429
"131","Wythe County",86.7407407407407,21.2222222222222
"132","York County",89.1333333333333,22.6
