"","...1","County","STATEFP","COUNTYFP","Longitude","Latitude","HighGrad","Severe_Housing_Issues","Child_Mortality","WhiteBlackSeg","WhiteNonWhiteSeg","ChildPoverty","HealthyFoods","SOLPassRate","SOLAdvPassRate","TotalScore","0","TotalScoreRank"
"79",79,"Montgomery","51","121",37.207,-80.4104,0.95,-0.19,-0.00571446064,-0.358024691358025,-0.516129032258065,-0.15,-0.04,0.753146176089304,0.487967166434416,0.103471684251959,0,"5"
"80",80,"Nelson","51","125",37.7479,-78.8836,0.92,-0.14,0,-0.308641975308642,-0.290322580645161,-0.2,-0.03,0.626898554433835,0.307968924727995,0.110737865401003,1,"5"
"81",81,"New Kent","51","127",37.4654,-76.9643,0.94,-0.13,0,-0.111111111111111,-0.0483870967741935,-0.07,0,0.78111960482332,0.39352716524218,0.219393570272524,1,"7"
"82",82,"Newport News City","51","700",37.0871,-76.473,0.93,-0.18,-0.01143523272,-0.518518518518518,-0.596774193548387,-0.22,-0.06,0.498225233959204,0.321924424423119,0.0181579681772686,0,"4"
"83",83,"Norfolk City","51","710",36.8508,-76.2859,0.82,-0.23,-0.01449558618,-0.654320987654321,-0.741935483870968,-0.28,-0.08,0.488898604181135,0.318971898196648,-0.0414312839252785,0,"3"
"84",84,"Northampton","51","131",37.2268,-75.9928,0.91,-0.15,-0.01672660366,-0.0617283950617284,-0.0967741935483871,-0.3,0,0.455953533394459,0.173683228816123,0.101600841104496,0,"5"
"85",85,"Northumberland","51","133",37.9036,-76.41,0.95,-0.15,0,-0.123456790123457,-0.145161290322581,-0.27,-0.01,0.667957405589,0.254026490780844,0.146670726990476,1,"6"
"86",86,"Norton City","51","720",36.9334,-82.629,0.95,-0.23,0,0,NA,-0.31,-0.02,0.809293320295008,0.230396119673131,NA,2,NA
"87",87,"Nottoway","51","135",37.1148,-78.0195,0.91,-0.17,-0.0129032258,-0.222222222222222,-0.274193548387097,-0.28,-0.3,0.54791868337254,0.19613208121958,0.0438590853536445,0,"4"
"88",88,"Orange","51","137",38.2427,-77.9739,0.93,-0.13,-0.00673930136,-0.172839506172839,-0.0967741935483871,-0.13,-0.08,0.728777914867669,0.353599986291451,0.155113877786433,0,"6"
