,County,Child_Mortality,CMBIN,Severe_Housing_Issues,SHBIN,CountyPOP,WhiteBlackSeg,WhiteBlackBin,WhiteNonWhiteSeg,WhiteNonWhiteBin,Limited Access to Healthy Foods,Children in Poverty,High School Graduation,ChildPovertyRank,GradRank,FoodRank,SOL PassRate,SOL AdvPassRate
81,Middlesex,NA,NA,0.14,Moderate,10700,23,Moderate,12,Low,0,0.23,0.94,Moderate,High,Very Low,76.4137931,14.34482759
82,Montgomery,0.285723032,Low,0.19,High,97997,29,Moderate,32,High,0.04,0.15,0.95,Low,High,Very Low,82.10344828,16.93103448
83,Nelson,NA,NA,0.14,Moderate,14812,25,Moderate,18,Low,0.03,0.2,0.92,Moderate,High,Very Low,71.66666667,14.76666667
84,New Kent,NA,NA,0.13,Low,21103,9,Very Low,3,Very Low,0,0.07,0.94,Very Low,High,Very Low,71.32258065,14.67741935
85,Newport News City,0.571761636,Moderate,0.18,High,180145,42,Very High,37,High,0.06,0.22,0.93,Moderate,High,Very Low,70.10714286,10.28571429
86,Norfolk City,0.724779309,Moderate,0.23,Very High,245592,53,Very High,46,Very High,0.08,0.28,0.82,High,Low,Very Low,77.92857143,12.71428571
87,Northampton,0.836330183,High,0.15,Moderate,11957,5,Very Low,6,Very Low,0,0.3,0.91,High,High,Very Low,83.14285714,12
88,Northumberland,NA,NA,0.15,Moderate,12223,10,Very Low,9,Very Low,0.01,0.27,0.95,High,High,Very Low,73.5,10.96428571
89,Norton City,NA,NA,0.23,Very High,3990,NA,NA,NA,NA,0.02,0.31,0.95,High,High,Very Low,80.17241379,15.72413793
90,Nottoway,0.64516129,Moderate,0.17,High,15500,18,Low,17,Low,0.3,0.28,0.91,High,High,Moderate,76.25,12.85714286
91,Orange,0.336965068,Low,0.13,Low,35612,14,Low,6,Very Low,0.08,0.13,0.93,Low,High,Very Low,84.13793103,18.72413793
92,Page,0.463177397,Low,0.13,Low,23749,54,Very High,34,High,0.01,0.19,1,Moderate,Very High,Very Low,53.28571429,5.035714286
93,Patrick,NA,NA,0.13,Low,17859,20,Low,21,Moderate,0.05,0.23,0.93,Moderate,High,Very Low,84,19.33333333
94,Petersburg City,1.193954818,Very High,0.25,Very High,31827,32,High,32,High,0.21,0.39,0.83,Very High,Low,Low,88.57142857,22.21428571
95,Pittsylvania,0.518840392,Moderate,0.12,Low,61676,26,Moderate,25,Moderate,0.06,0.22,0.91,Moderate,High,Very Low,73.3,13.13333333
96,Poquoson City,NA,NA,0.09,Very Low,12039,37,High,21,Moderate,0.05,0.05,0.96,Very Low,Very High,Very Low,82.14285714,16.17857143
97,Portsmouth City,0.807881567,High,0.21,Very High,95311,54,Very High,51,Very High,0.04,0.29,0.86,High,Moderate,Very Low,63,9.535714286
98,Powhatan,0.349968503,Low,0.13,Low,28574,29,Moderate,18,Low,0.02,0.08,0.94,Very Low,High,Very Low,81.46428571,14.32142857
99,Prince Edward,NA,NA,0.13,Low,22956,12,Low,11,Low,0.12,0.28,0.89,High,Moderate,Low,81.51612903,20.16129032
100,Prince George,0.39584103,Low,0.13,Low,37894,19,Low,17,Low,0.1,0.11,0.91,Low,High,Very Low,77.5,14.10714286
101,Prince William,0.385331988,Low,0.16,Moderate,456749,34,High,27,Moderate,0.03,0.09,0.92,Very Low,High,Very Low,82.18518519,21.59259259
102,Pulaski,0.350528714,Low,0.09,Very Low,34234,16,Low,11,Low,0.06,0.21,0.95,Moderate,High,Very Low,85.06896552,15.86206897
103,Radford City,NA,NA,0.25,Very High,17630,13,Low,15,Low,0.07,0.18,0.97,Moderate,Very High,Very Low,58.87096774,11.80645161
104,Rappahannock,NA,NA,0.16,Moderate,7332,34,High,34,High,0.21,0.14,0.95,Low,High,Low,78.74074074,11.81481481
105,Richmond,NA,NA,0.17,High,223787,12,Low,14,Low,0.02,0.23,0.95,Moderate,High,Very Low,75.23333333,17.43333333
106,Richmond City,17.57152512,Very High,0.24,Very High,8878,55,Very High,52,Very High,0.08,0.35,0.75,Very High,Very Low,Very Low,85.43333333,20.73333333
107,Roanoke,0.321217414,Low,0.11,Low,99621,33,High,23,Moderate,0.03,0.08,0.95,Very Low,High,Very Low,78.93333333,18.8
108,Roanoke City,0.662513491,Moderate,0.19,High,93583,58,Very High,50,Very High,0.08,0.32,0.9,Very High,Moderate,Very Low,80.4137931,17.34482759
109,Rockbridge,NA,NA,0.12,Low,22509,36,High,24,Moderate,0.05,0.17,0.91,Low,High,Very Low,84.14814815,15.37037037
110,Rockingham,0.465736871,Low,0.12,Low,79444,51,Very High,34,High,0.06,0.09,0.94,Very Low,High,Very Low,82.4137931,18.44827586
111,Russell,0.474314069,Low,0.13,Low,27408,69,Very High,48,Very High,0.02,0.22,0.9,Moderate,Moderate,Very Low,87.92857143,18.25
112,Salem City,0.50942435,Moderate,0.15,Moderate,25519,48,Very High,40,High,0.12,0.12,0.97,Low,Very High,Low,71.96428571,11.5
113,Scott,NA,NA,0.11,Low,22009,NA,NA,55,Very High,0.04,0.25,0.95,High,High,Very Low,79.93103448,14.4137931
114,Shenandoah,NA,NA,0.12,Low,43045,39,High,29,Moderate,0.03,0.15,0.97,Low,Very High,Very Low,82.96428571,15.10714286
115,Smyth,0.515148588,Moderate,0.11,Low,31059,52,Very High,33,High,0.06,0.25,0.95,High,High,Very Low,79.06666667,17.03333333
116,Southampton,0.668933608,Moderate,0.12,Low,17939,11,Low,10,Very Low,0.14,0.2,0.87,Moderate,Moderate,Low,82.70967742,20.12903226
117,Spotsylvania,0.441359998,Low,0.13,Low,131412,18,Low,19,Low,0.04,0.1,0.91,Very Low,High,Very Low,73.64285714,14.78571429
118,Stafford,0.423575813,Low,0.11,Low,144012,23,Moderate,25,Moderate,0.03,0.07,0.95,Very Low,High,Very Low,76.93333333,13.23333333
119,Staunton City,0.490757402,Low,0.17,High,24452,16,Low,19,Low,0.02,0.19,0.9,Moderate,Moderate,Very Low,78.21428571,10.21428571
120,Suffolk City,0.482279049,Low,0.16,Moderate,89160,43,Very High,42,Very High,0.06,0.16,0.87,Low,Moderate,Very Low,77.10714286,12.14285714
121,Surry,NA,NA,0.09,Very Low,6600,1,Very Low,1,Very Low,0.1,0.2,0.94,Moderate,High,Very Low,86.57142857,18.35714286
122,Sussex,NA,NA,0.13,Low,11486,18,Low,17,Low,0.18,0.3,0.89,High,Moderate,Low,84.38709677,20.61290323
123,Tazewell,0.451520913,Low,0.1,Very Low,42080,53,Very High,27,Moderate,0.08,0.24,0.89,Moderate,Moderate,Very Low,74.78571429,13.92857143
124,Virginia Beach City,0.390993813,Low,0.16,Moderate,450135,36,High,34,High,0.03,0.1,0.93,Very Low,High,Very Low,86.19354839,22
125,Warren,0.608380441,Moderate,0.12,Low,39449,38,High,29,Moderate,0.03,0.14,0.94,Low,High,Very Low,68.53571429,11.03571429
126,Washington,0.330845863,Low,0.1,Very Low,54406,59,Very High,27,Moderate,0.03,0.21,0.94,Moderate,High,Very Low,92.42857143,21.92857143
127,Waynesboro City,0.547295448,Moderate,0.15,Moderate,21926,27,Moderate,21,Moderate,0.04,0.25,0.83,High,Low,Very Low,74.42857143,11.21428571
128,Westmoreland,NA,NA,0.14,Moderate,17638,25,Moderate,21,Moderate,0.02,0.27,0.92,High,High,Very Low,82.90322581,23.32258065
129,Williamsburg City,NA,NA,0.22,Very High,14788,22,Moderate,23,Moderate,0.04,0.28,0.92,High,High,Very Low,73.07142857,14.5
130,Winchester City,0.539781928,Moderate,0.2,Very High,27789,30,Moderate,21,Moderate,0.03,0.22,0.89,Moderate,Moderate,Very Low,88.5,20.10714286
131,Wise,0.614990391,Moderate,0.13,Low,39025,58,Very High,29,Moderate,0.04,0.33,0.96,Very High,Very High,Very Low,86.74074074,21.22222222
132,Wythe,NA,NA,0.12,Low,28940,48,Very High,43,Very High,0.02,0.24,0.94,Moderate,High,Very Low,89.13333333,22.6
133,York,0.251527661,Low,0.11,Low,67587,28,Moderate,27,Moderate,0.04,0.07,0.97,Very Low,Very High,Very Low,,
