"","County","Child_Mortality","CMBIN","Severe_Housing_Issues","SHBIN","CountyPOP","WhiteBlackSeg","WhiteBlackBin","WhiteNonWhiteSeg","WhiteNonWhiteBin","Limited Access to Healthy Foods","Children in Poverty","High School Graduation","ChildPovertyRank","GradRank","FoodRank","SOL PassRate","SOL AdvPassRate","PassRank","AdvPassRank"
"43","Franklin City","0.24896413100000001","Very Low",0.21,"Very High",56233,"45","Very High","44","Very High","0.28000000000000003",0.34,0.93,"Very High","High","Moderate",72.8928571428571,8.25,"Moderate","Very Low"
"44","Frederick","0.422768429","Low",0.11,"Low",85153,"29","Moderate","23","Moderate","0.04",0.1,0.93,"Very Low","High","Very Low",78.6333333333333,16.9333333333333,"High","Low"
"45","Fredericksburg City","0.80789630800000001","High",0.2,"Very High",28469,"17","Low","19","Low","0.02",0.21,0.83,"Moderate","Low","Very Low",65.4827586206897,10.448275862069,"Low","Very Low"
"46","Galax City","NA","NA",0.14,"Moderate",6638,"61","Very High","61","Very High","0.01",0.35,0.93,"Very High","High","Very Low",80.0714285714286,13.1428571428571,"High","Low"
"47","Giles","NA","NA",0.08,"Very Low",16814,"50","Very High","41","Very High","0",0.18,0.93,"Moderate","High","Very Low",83.4137931034483,17.1724137931034,"Very High","Moderate"
"48","Gloucester","0.37673905400000002","Low",0.12,"Low",37161,"21","Moderate","16","Low","0.03",0.13,0.93,"Low","High","Very Low",83.5,17.75,"Very High","Moderate"
"49","Goochland","NA","NA",0.11,"Low",22482,"27","Moderate","23","Moderate","0.03",0.08,0.94,"Very Low","High","Very Low",84.2068965517241,18.3103448275862,"Very High","Moderate"
"50","Grayson","NA","NA",0.12,"Low",15811,"18","Low","12","Low","0.09",0.28,0.91,"High","High","Very Low",82.1785714285714,13.7857142857143,"High","Low"
"51","Greene","0.515198351","Moderate",0.12,"Low",19410,"19","Low","25","Moderate","0",0.12,0.95,"Low","High","Very Low",74.6551724137931,14.3448275862069,"Moderate","Low"
"52","Greensville","NA","NA",0.15,"Moderate",11659,"10","Very Low","10","Very Low","0.04",0.27,0.89,"High","Moderate","Very Low",62.0357142857143,7.5,"Low","Very Low"
"53","Halifax","0.46004772999999999","Low",0.11,"Low",34779,"24","Moderate","22","Moderate","0.11",0.22,0.95,"Moderate","High","Low",74.3793103448276,10.5172413793103,"Moderate","Very Low"
"54","Hampton City","0.61954669799999995","Moderate",0.23,"Very High",135583,"36","High","33","High","0.1",0.24,0.93,"Moderate","High","Very Low",75.3548387096774,13.0322580645161,"Moderate","Low"
"55","Hanover","0.31594366600000001","Low",0.09,"Very Low",104449,"23","Moderate","18","Low","0.04",0.06,0.95,"Very Low","High","Very Low",85.8333333333333,20.6333333333333,"Very High","Moderate"
"56","Harrisonburg City","0.374594969","Low",0.26,"Very High",53391,"23","Moderate","19","Low","0.01",0.2,0.88,"Moderate","Moderate","Very Low",68.0357142857143,12.8214285714286,"Low","Low"
"57","Henrico","0.49133711299999999","Low",0.15,"Moderate",325642,"57","Very High","42","Very High","0.04",0.13,0.92,"Low","High","Very Low",80.1612903225806,21.9032258064516,"High","Moderate"
"58","Henry","0.44584011800000001","Low",0.12,"Low",51588,"25","Moderate","22","Moderate","7.0000000000000007E-2",0.28,0.88,"High","Moderate","Very Low",78.5666666666667,15.1333333333333,"High","Low"
"59","Highland","NA","NA",0.1,"Very Low",2214,"NA","NA","NA","NA","0.32",0.21,1,"Moderate","Very High","High",81.7727272727273,13.1818181818182,"High","Low"
"60","Hopewell City","1.0264191359999999","Very High",0.2,"Very High",22408,"22","Moderate","23","Moderate","0.13",0.31,0.91,"High","High","Low",72.8333333333333,11.9,"Moderate","Low"
"61","Isle of Wight","0.35741779400000001","Low",0.12,"Low",36372,"20","Low","17","Low","0.02",0.12,0.96,"Low","Very High","Very Low",80.9642857142857,16.3214285714286,"High","Low"
"62","King and Queen","NA","NA",0.15,"Moderate",7052,"27","Moderate","30","Moderate","0.04",0.19,0.87,"Moderate","Moderate","Very Low",76.8275862068966,10.5172413793103,"High","Very Low"
"63","King George","NA","NA",0.09,"Very Low",25890,"18","Low","15","Low","NA",0.09,0.95,"Very Low","High","NA",82.1379310344828,17.9310344827586,"High","Moderate"
"64","King William","NA","NA",0.13,"Low",16497,"19","Low","17","Low","0.03",0.1,0.92,"Very Low","High","Very Low",77.1428571428571,11.1428571428571,"High","Low"
"65","Lancaster","NA","NA",0.12,"Low",10804,"15","Low","14","Low","0.01",0.24,0.89,"Moderate","Moderate","Very Low",66.6428571428571,8.32142857142857,"Low","Very Low"
"66","Lee","0.45578851399999998","Low",0.13,"Low",24134,"81","Very High","62","Very High","0",0.33,0.85,"Very High","Low","Very Low",80.8571428571429,14.4285714285714,"High","Low"
"67","Lexington City","NA","NA",0.16,"Moderate",7110,"NA","NA","NA","NA","0.01",0.14,0.82,"Low","Low","Very Low",82.5789473684211,35.2631578947368,"High","Very High"
